Team,Date,Tournament,Match,Possession Time,Scores,Tries,Conversions,Passes,Contestable_Restart_Win_Pct,Pens_Frees Against,Ruck_Maul,Yellow_Red Cards,TurnoversConceded,Ruck_retention,Lineout_Win_Pct,Scrum_Win_Pct
SAMOA,2017-03-06,2017_Las_Vegas,Match_5_USA_vs_Samoa,142,5,1,0.0,21,50.0,3,2,0,4,0.9,0.0,0.0
USA,2017-05-22,2017_London,Match_13_USA_vs_Kenya,251,47,7,0.8571428571428571,38,42.857142857142854,1,1,0,2,0.6666666666666666,1.0,1.0
KENYA,2017-05-22,2017_London,Match_13_USA_vs_Kenya,147,0,0,0.0,22,0.0,3,3,0,2,0.625,0.0,1.0
SOUTH AFRICA,2017-05-22,2017_London,Match_22_South_Africa_vs_USA,199,12,2,0.5,34,0.0,2,2,0,2,0.875,0.0,0.0
USA,2017-05-22,2017_London,Match_22_South_Africa_vs_USA,226,24,4,0.5,36,0.0,1,1,0,0,0.9230769230769231,0.5,1.0
USA,2017-05-22,2017_London,Match_29_USA_vs_Australia,261,31,5,0.6,49,50.0,2,2,0,3,1.0,0.0,1.0
AUSTRALIA,2017-05-22,2017_London,Match_29_USA_vs_Australia,146,14,2,1.0,23,0.0,1,0,0,3,0.8571428571428571,0.0,1.0
USA,2017-05-22,2017_London,Match_39_USA_vs_Scotland,221,14,2,1.0,46,50.0,2,2,0,3,0.75,1.0,1.0
SCOTLAND,2017-05-22,2017_London,Match_39_USA_vs_Scotland,300,21,3,1.0,51,0.0,1,1,0,2,0.8571428571428571,1.0,1.0
USA,2017-05-22,2017_London,Match_44_USA_vs_Canada,224,19,3,0.6666666666666666,46,50.0,1,1,0,2,0.8888888888888888,0.0,1.0
CANADA,2017-05-22,2017_London,Match_44_USA_vs_Canada,179,22,4,0.25,21,25.0,5,4,0,3,1.0,1.0,1.0
